,ticks
1072,GPK
1073,GTN
1074,AJX
1075,AJXA
1076,GWB
1077,GDOT
1078,GBX
1079,GHL
1080,GHG
1081,GEF
1082,GFF
1083,GPI
1084,GRUB
1085,PAC
1086,ASR
1087,AVAL
1088,SUPV
1089,TV
1090,GSX
1091,GTT
1092,GSH
1093,GES
1094,GGM
1095,GPM
1096,GOF
1097,GBAB
1098,GWRE
1099,HRB
1100,FUL
1101,HAE
1102,HAL
1103,HBB
1104,HBI
1105,HNGR
1106,HASI
1107,HOG
1108,HMY
1109,HSC
1110,HGH
1111,HIG
1112,HVT
1113,HE
1114,HCHC
1115,HCA
1116,HCI
1117,HDB
1118,HR
1119,HTA
1120,PEAK
1121,HL
1122,HEI
1123,HLX
1124,HP
1125,HLF
1126,HRI
1127,HCXY
1128,HCXZ
1129,HTGC
1130,HRTG
1131,PSV
1132,HT
1133,HSY
1134,HTZ
1135,HES
1136,HESM
1137,HPE
1138,HXL
1139,HEXO
1140,PCF
1141,HGLB
1142,HFRO
1143,HPR
1144,HIW
1145,HIL
1146,HI
1147,HRC
1148,HTH
1149,HGV
1150,HLT
1151,HNI
1152,HMLP
1153,HEP
1154,HFC
1155,HD
1156,HMC
1157,HON
1158,HMN
1159,HZN
1160,HTFA
1161,HRL
1162,HST
1163,HLI
1164,HOV
1165,HHC
1166,HWM
1167,HPQ
1168,HSBC
1169,HMI
1170,HNP
1171,HUBB
1172,HUBS
1173,HBM
1174,HUD
1175,HPP
1176,HUM
1177,HCFT
1178,HII
1179,HUN
1180,HUYA
1181,H
1182,HY
1183,IAA
1184,IAG
1185,IBN
1186,ICL
1187,IDA
1188,IEX
1189,IDT
1190,INFO
1191,ITW
1192,IMAX
1193,ICD
1194,IHC
1195,IRT
1196,IFN
1197,IBA
1198,INFY
1199,ING
1200,IR
1201,NGVT
1202,INGR
1203,IIPR
1204,IPHI
1205,INSI
1206,NSP
1207,INSP
1208,IBP
1209,ITGR
1210,ICE
1211,IHG
1212,IFS
1213,IBM
1214,IFF
1215,IFFT
1216,IGT
1217,IP
1218,INSW
1219,IPV
1220,IPG
1221,IPI
1222,IVC
1223,VBF
1224,VCV
1225,VTA
1226,IHIT
1227,IHTA
1228,VLT
1229,IVR
1230,OIA
1231,VMO
1232,VKQ
1233,VPV
